Commit Hash,NS,ND,NF,Entropy,LA,LD,LT,FIX,NDEV,AGE,NUC,EXP,REXP,SEXP,BUGLABEL
e432b9a3f0670631f9af5d8a4e5b141bb08e259b,1,1,1,0,8,10,149,0,4,139360,1,448,3.64E-05,0,0
84a69407cb3502858362b4aaf5626f1e66e898e7,1,1,1,0,6,19,162,0,3,111578,1,447,3.67E-05,0,0
aef75edbe1f41f5e637b52b5e75a47a37ebdf6ad,1,1,7,2.692319788,19,34,30549,0,5,46804.42857,7,446,3.69E-05,0,0
117fb5a3dbe106e6a35851cb67296cae7cabe978,1,1,5,2.213461651,17,18,30086,0,4,25876,5,445,4.15E-05,0,0
5bb1352beb2ab9f086fa548e47711d7a9caef6b9,1,1,7,2.278568841,6,21,30565,0,7,101775.7143,7,444,3.24E-05,0,0
f6b30324e1ccc2e35a633249a14a502d5217e81f,1,1,4,0.927447923,22,1,1097,0,1,81111,1,18,2.63E-05,0,0
40703570e499de33730c69512173231247d5691e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e72570be790ba6cd6a789085e1e2da52596afed3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c73c3235ac4aa4662c0e1bae100b5db65e30845a,1,1,1,0,21,36,102,0,1,31812,1,252,1.98E-05,0,0
6ad38429469b9a505676617793017322cb7acb20,1,1,1,0,5,1,98,0,1,476,1,251,1.61E-05,0,0
cc3912380ca13b08242b39092a03f58d87d57a6d,1,1,1,0,62,17,53,0,1,47729,1,250,1.61E-05,0,1
09a3cb0e014be786c1b71b56ceb1fd8db7231fa9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f8532f669af3f436197045ec8e1865cfc92defb6,1,1,1,0,1,1,114,0,1,11582,1,442,4.16E-05,0,0
75ad43d06b006ad2a2095af7f2438219809aa499,1,1,1,0,14,6,106,0,1,152501,1,441,2.43E-05,0,1
384b880d69a1d7e1fde6c19321869b10120c43f8,1,1,1,0,1,1,106,0,1,92,1,440,2.29E-05,0,0
050a07ff17134a9bf26e38515b1bb45b9d174847,1,1,1,0,68,15,53,0,1,149497,1,440,2.28E-05,0,0
0c3d521fcfd092b0bef1142cf48f0bc1072bf80e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
778235fb0c386041d784f50d09ead44ff6ef5769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d62d372eff48bb21ba1b99923eb0d29cadccebf6,1,1,1,0,2,2,21439,0,2,13770,1,17,2.01E-05,0,0
080c42f6c4b34c6af48f125f2e5a14478e1dfbd5,1,1,2,0.880450555,12254,17915,8886,0,2,90156.5,2,102,2.00E-05,0,0
dcf51c2c6d0d4eb91f48be247d7fe9e1c320eca4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acef66e74acce25f717907562831fb8589b75622,1,1,1,0,69,0,21370,0,0,0,0,16,1.93E-05,0,0
